outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,model,se_model
q08,HI_minus_LI,0.04375,-0.040625,0.121875,0.34559,80,deepreviewer,0.04118858104937289
q08,HP_minus_LP,0.05,-0.01875,0.11875,0.18443,80,deepreviewer,0.03427596493392854
q08,BF_minus_WM,0.0375,-0.040625,0.109375,0.381795,80,deepreviewer,0.03828296544206019
q09,HI_minus_LI,0.103125,-0.025,0.246875,0.15677,80,deepreviewer,0.06928285304652097
q09,HP_minus_LP,-0.078125,-0.16875,0.0125,0.113175,80,deepreviewer,0.04655746882596832
q09,BF_minus_WM,-0.046875,-0.171875,0.08125,0.508225,80,deepreviewer,0.06415433175731665
q10,HI_minus_LI,0.13125,0.040625,0.2375,0.00776,80,deepreviewer,0.050113597222533106
q10,HP_minus_LP,-0.0125,-0.1,0.08125,0.84626,80,deepreviewer,0.04533193330550981
q10,BF_minus_WM,0.075,-0.05,0.209375,0.293075,80,deepreviewer,0.06691672512358791
q11,HI_minus_LI,0.115625,0.0,0.234375,0.06492,80,deepreviewer,0.06031689619644027
q11,HP_minus_LP,0.009375,-0.103125,0.125,0.91792,80,deepreviewer,0.05873867888497237
q11,BF_minus_WM,0.084375,-0.075,0.240625,0.32287,80,deepreviewer,0.08078233838296743
q12,HI_minus_LI,0.040625,-0.0625,0.1375,0.476235,80,deepreviewer,0.051757817164735875
q12,HP_minus_LP,0.128125,0.01875,0.259375,0.040955,80,deepreviewer,0.06257807623281494
q12,BF_minus_WM,0.115625,-0.00625,0.2375,0.076245,80,deepreviewer,0.06257017421223443
q13,HI_minus_LI,0.009375,-0.1,0.115625,0.911065,80,deepreviewer,0.05472958371722517
q13,HP_minus_LP,0.059375,-0.0375,0.171875,0.321805,80,deepreviewer,0.05359758158333525
q13,BF_minus_WM,0.103125,-0.046875,0.25,0.20262,80,deepreviewer,0.07660386218037159
q14,HI_minus_LI,0.05,-0.025,0.128125,0.241255,80,deepreviewer,0.03887256036546974
q14,HP_minus_LP,0.00625,-0.05,0.05625,0.915395,80,deepreviewer,0.02740598139924378
q14,BF_minus_WM,0.03125,-0.053125,0.1125,0.51101,80,deepreviewer,0.04157096075965784
q01,HI_minus_LI,0.055625,0.020625000000000004,0.09687500000000002,0.00204,80,gemma,0.019848989826988645
q01,HP_minus_LP,0.009375,-0.015624999999999997,0.033125,0.47805,80,gemma,0.012391738456004681
q01,BF_minus_WM,0.0018750000000000017,-0.018749999999999996,0.023125,0.85827,80,gemma,0.01065288596721
q02,HI_minus_LI,0.06499999999999999,0.024375,0.11499999999999999,0.00684,80,gemma,0.02318404623873926
q02,HP_minus_LP,0.026249999999999996,0.0075000000000000015,0.049375,0.00955,80,gemma,0.010892708919040144
q02,BF_minus_WM,0.0125,-0.0049999999999999975,0.033124999999999995,0.216,80,gemma,0.00951763852213219
q03,HI_minus_LI,-0.013749999999999998,-0.034999999999999996,0.0,0.502255,80,gemma,0.00970184472867096
q03,HP_minus_LP,-0.004999999999999999,-0.013749999999999995,0.0,0.502255,80,gemma,0.003937807653241082
q03,BF_minus_WM,-0.0075000000000000015,-0.02,0.0,0.502255,80,gemma,0.005561793263309728
q04,HI_minus_LI,0.053125,0.01875,0.094375,0.004925,80,gemma,0.019615443533094017
q04,HP_minus_LP,0.013125000000000001,-0.004999999999999999,0.03125,0.193825,80,gemma,0.009275313891443789
q04,BF_minus_WM,0.028125,0.004999999999999999,0.055624999999999994,0.03812,80,gemma,0.013158110736901287
q05,HI_minus_LI,0.025,-0.018124999999999995,0.07062500000000001,0.28452,80,gemma,0.022624479852752302
q05,HP_minus_LP,0.005000000000000006,-0.021249999999999998,0.02812500000000001,0.679555,80,gemma,0.012722699737382584
q05,BF_minus_WM,0.0012500000000000011,-0.030624999999999996,0.034374999999999996,0.93655,80,gemma,0.016520389205272098
q06,HI_minus_LI,-0.016875,-0.05874999999999999,0.025625000000000002,0.456195,80,gemma,0.02180436153529897
q06,HP_minus_LP,-0.014374999999999999,-0.041249999999999995,0.008749999999999999,0.309715,80,gemma,0.012833948934492629
q06,BF_minus_WM,-0.011875,-0.03874999999999999,0.011875,0.392015,80,gemma,0.012927614626709322
q07,HI_minus_LI,0.033125,-0.0031406249999999876,0.0725,0.103065,80,gemma,0.019485952218476762
q07,HP_minus_LP,0.019375,-0.0012499999999999998,0.042499999999999996,0.09406,80,gemma,0.011303275751812789
q07,BF_minus_WM,0.019375,-0.00375,0.04625,0.14605,80,gemma,0.012812355278589887
q08,HI_minus_LI,0.110625,0.057499999999999996,0.169375,4.5e-05,80,gemma,0.02872134992397983
q08,HP_minus_LP,0.084375,0.045,0.12937499999999996,6.5e-05,80,gemma,0.02154245422092756
q08,BF_minus_WM,0.018125,-0.003750000000000001,0.04375,0.159055,80,gemma,0.012235937097156457
q09,HI_minus_LI,-0.074375,-0.144375,-0.00875,0.037855,80,gemma,0.03511952635399734
q09,HP_minus_LP,-0.041874999999999996,-0.094375,0.0075000000000000015,0.123535,80,gemma,0.026407285716711786
q09,BF_minus_WM,-0.013124999999999998,-0.053125,0.027500000000000004,0.54839,80,gemma,0.02052984378312445
q10,HI_minus_LI,0.0925,0.032499999999999994,0.153125,0.002745,80,gemma,0.030723089490611147
q10,HP_minus_LP,0.1675,0.1125,0.22625,0.0,80,gemma,0.02943427563706097
q10,BF_minus_WM,0.12125,0.07125000000000001,0.175625,5e-06,80,gemma,0.02696069278961878
q11,HI_minus_LI,0.038125,-0.006875000000000001,0.083125,0.10876,80,gemma,0.022975698326875613
q11,HP_minus_LP,0.07562500000000001,0.03625,0.12062500000000001,0.00014,80,gemma,0.021877712309244676
q11,BF_minus_WM,0.031875,0.005625,0.0625,0.02827,80,gemma,0.014513300043909966
q12,HI_minus_LI,0.016249999999999994,-0.051875000000000004,0.090625,0.676345,80,gemma,0.0365737398876173
q12,HP_minus_LP,0.19,0.13125,0.25187499999999996,0.0,80,gemma,0.03064961230060203
q12,BF_minus_WM,0.045,0.004374999999999999,0.0925,0.04528,80,gemma,0.022406627636155255
q13,HI_minus_LI,0.043125000000000004,-0.006249999999999998,0.09375,0.09767,80,gemma,0.025497327825986446
q13,HP_minus_LP,0.084375,0.036875000000000005,0.1375,0.000915,80,gemma,0.025834088307329254
q13,BF_minus_WM,0.064375,0.024999999999999998,0.10750000000000001,0.002245,80,gemma,0.021220544551824053
q14,HI_minus_LI,0.053125,0.008750000000000003,0.09874999999999999,0.02214,80,gemma,0.022752516726838444
q14,HP_minus_LP,0.06437499999999999,0.026875,0.10625,0.00177,80,gemma,0.0203060785857744
q14,BF_minus_WM,0.015625,-0.01,0.042499999999999996,0.25753,80,gemma,0.013300142463784439
q01,HI_minus_LI,-0.02,-0.041249999999999995,-0.0018749999999999988,0.05159,80,gpt,0.010047356223833591
q01,HP_minus_LP,0.032499999999999994,0.008749999999999997,0.06124999999999999,0.013025,80,gpt,0.01375359561733088
q01,BF_minus_WM,-0.0037500000000000007,-0.025,0.016875,0.7532,80,gpt,0.01073910251300406
q02,HI_minus_LI,-0.021249999999999998,-0.04875,0.0012500000000000067,0.11582,80,gpt,0.012943860037030214
q02,HP_minus_LP,0.011250000000000001,-0.011875000000000004,0.035,0.3634,80,gpt,0.012162370636256359
q02,BF_minus_WM,0.017499999999999998,0.0031250000000000015,0.034374999999999996,0.030115,80,gpt,0.007860532722630462
q03,HI_minus_LI,0.006874999999999999,-0.006874999999999999,0.021875,0.39504,80,gpt,0.007320842774165461
q03,HP_minus_LP,-0.043125,-0.07374999999999998,-0.018124999999999995,0.00207,80,gpt,0.014472358802344472
q03,BF_minus_WM,-0.028125,-0.056874999999999995,-0.0037500000000000007,0.04354,80,gpt,0.013484747302420115
q04,HI_minus_LI,-0.002500000000000001,-0.010625,0.004375,0.562565,80,gpt,0.0037631625536326875
q04,HP_minus_LP,0.004999999999999999,0.0006249999999999999,0.01125,0.06298,80,gpt,0.002755891273047751
q04,BF_minus_WM,0.008749999999999999,0.0012500000000000005,0.018125,0.06298,80,gpt,0.004427242333952852
q05,HI_minus_LI,-0.007499999999999998,-0.019999999999999997,1.3877787807814458e-18,0.24846,80,gpt,0.005344167529398613
q05,HP_minus_LP,0.006250000000000003,-0.01125,0.025,0.49975,80,gpt,0.009173736245873913
q05,BF_minus_WM,0.013750000000000002,0.0018749999999999995,0.029375000000000002,0.061545,80,gpt,0.007002203541056184
q06,HI_minus_LI,-0.019999999999999997,-0.04064062499999999,-0.0025000000000000014,0.045055,80,gpt,0.009808288925473677
q06,HP_minus_LP,0.015,-0.013125000000000001,0.046875,0.35028,80,gpt,0.015261434808204084
q06,BF_minus_WM,0.003749999999999999,-0.015000000000000003,0.022500000000000003,0.723045,80,gpt,0.009652793587901531
q07,HI_minus_LI,-0.004374999999999995,-0.028749999999999998,0.01875000000000001,0.763055,80,gpt,0.01226661073500136
q07,HP_minus_LP,0.036875000000000005,0.010624999999999996,0.06625,0.01056,80,gpt,0.01430742233460519
q07,BF_minus_WM,0.015625000000000003,-0.014374999999999999,0.04312500000000001,0.292,80,gpt,0.014739127885420658
q08,HI_minus_LI,0.16875,0.12,0.221875,0.0,80,gpt,0.02622587800656424
q08,HP_minus_LP,0.2575,0.200625,0.31625000000000003,0.0,80,gpt,0.02950139451756497
q08,BF_minus_WM,0.0675,0.035625000000000004,0.10250000000000001,4.5e-05,80,gpt,0.016878662284266755
q09,HI_minus_LI,-0.07375000000000001,-0.12250000000000001,-0.026249999999999996,0.00371,80,gpt,0.024761121398502783
q09,HP_minus_LP,-0.1725,-0.225,-0.12250000000000001,0.0,80,gpt,0.026533654292738913
q09,BF_minus_WM,-0.030000000000000006,-0.06062500000000002,-0.0006250000000000034,0.0518,80,gpt,0.01529250664520604
q10,HI_minus_LI,0.0825,0.021875,0.148125,0.01147,80,gpt,0.0324512779877461
q10,HP_minus_LP,0.31500000000000006,0.24312499999999998,0.39187500000000003,0.0,80,gpt,0.03815773392417123
q10,BF_minus_WM,0.14250000000000002,0.08562499999999999,0.20625,0.0,80,gpt,0.030774547678400193
q11,HI_minus_LI,0.014375000000000002,-0.018125000000000002,0.04625000000000001,0.4009,80,gpt,0.016810413203981855
q11,HP_minus_LP,0.136875,0.09,0.1875,0.0,80,gpt,0.024980114718093548
q11,BF_minus_WM,0.073125,0.03749999999999999,0.11187499999999999,0.000175,80,gpt,0.01922023734853909
q12,HI_minus_LI,0.09624999999999999,0.06,0.13374999999999998,0.0,80,gpt,0.019134248405027997
q12,HP_minus_LP,0.3,0.23375000000000004,0.368125,0.0,80,gpt,0.03448307234689236
q12,BF_minus_WM,0.07125000000000001,0.041249999999999995,0.1025,1e-05,80,gpt,0.0159055509377359
q13,HI_minus_LI,0.05874999999999999,0.016874999999999994,0.1025,0.008945,80,gpt,0.02199998201955537
q13,HP_minus_LP,0.06,0.021249999999999998,0.1,0.00388,80,gpt,0.02042662075437437
q13,BF_minus_WM,0.04375,0.015,0.074375,0.00584,80,gpt,0.01536411959358804
q14,HI_minus_LI,-0.013125000000000006,-0.0475,0.021249999999999984,0.444125,80,gpt,0.017537115929553017
q14,HP_minus_LP,0.094375,0.058124999999999996,0.13499999999999998,0.0,80,gpt,0.019948385733046928
q14,BF_minus_WM,0.033125,0.0012499999999999998,0.068125,0.057525,80,gpt,0.01729179375684067
q01,HI_minus_LI,-0.010624999999999999,-0.030625000000000003,0.0012500000000000011,0.49886,80,llama,0.008700981593831958
q01,HP_minus_LP,0.014374999999999999,0.0,0.033749999999999995,0.24952,80,llama,0.008447237114785977
q01,BF_minus_WM,-0.0006249999999999977,-0.016249999999999994,0.0175,1.0,80,llama,0.008782433109857081
q02,HI_minus_LI,0.0475,0.018125000000000002,0.07875000000000001,0.00207,80,llama,0.015683277395793827
q02,HP_minus_LP,0.0875,0.039375,0.1425,0.000605,80,llama,0.026572387400305198
q02,BF_minus_WM,-0.013750000000000002,-0.03875,0.010624999999999999,0.28847,80,llama,0.012765379158618485
q03,HI_minus_LI,-0.01875,-0.0975,0.052500000000000005,0.749685,80,llama,0.03786609276136974
q03,HP_minus_LP,-0.01875,-0.06375,0.015000000000000003,0.500785,80,llama,0.020211989642696125
q03,BF_minus_WM,0.01125,-0.01875,0.04875,0.749685,80,llama,0.0172466975374814
q04,HI_minus_LI,0.016250000000000004,-0.018124999999999995,0.04875,0.3508,80,llama,0.017173145616914416
q04,HP_minus_LP,0.10375000000000001,0.051875000000000004,0.16312500000000002,6e-05,80,llama,0.028914635928644784
q04,BF_minus_WM,0.014999999999999996,-0.0031250000000000028,0.03625,0.166985,80,llama,0.010117974981265716
q05,HI_minus_LI,0.013125000000000001,-0.0037499999999999977,0.03625,0.250475,80,llama,0.010363021146291314
q05,HP_minus_LP,0.035625000000000004,0.004375000000000001,0.075,0.04714,80,llama,0.018491225895720984
q05,BF_minus_WM,-0.010624999999999999,-0.022499999999999996,-0.0018749999999999988,0.04706,80,llama,0.0053879370362253775
q06,HI_minus_LI,-0.0031250000000000015,-0.023125,0.013749999999999998,0.781085,80,llama,0.009469460823676248
q06,HP_minus_LP,0.015625,-0.0006250000000000006,0.034999999999999996,0.094195,80,llama,0.009226138827170759
q06,BF_minus_WM,-0.009374999999999998,-0.023124999999999996,0.0012499999999999998,0.1865,80,llama,0.006295326149542525
q07,HI_minus_LI,-0.011875,-0.030625000000000003,0.0006250000000000006,0.250215,80,llama,0.00830794524018569
q07,HP_minus_LP,0.009374999999999998,-0.004375000000000001,0.026249999999999996,0.31468,80,llama,0.007960232945354286
q07,BF_minus_WM,-0.004374999999999999,-0.016874999999999994,0.004375000000000001,0.748455,80,llama,0.005708764497560533
q08,HI_minus_LI,0.248125,0.18375000000000002,0.31437499999999996,0.0,80,llama,0.03380467617548072
q08,HP_minus_LP,0.215625,0.15625,0.278125,0.0,80,llama,0.031642706555611785
q08,BF_minus_WM,-0.005625000000000002,-0.020625000000000004,0.008749999999999999,0.43298,80,llama,0.007702629318467917
q09,HI_minus_LI,-0.755,-1.0074999999999998,-0.5193593750000013,0.0,80,llama,0.12560801494220628
q09,HP_minus_LP,-0.71375,-0.9325000000000001,-0.5050000000000001,0.0,80,llama,0.10986173344110106
q09,BF_minus_WM,0.032499999999999994,-0.025625000000000002,0.09375,0.30598,80,llama,0.030632829663035654
q10,HI_minus_LI,-0.383125,-0.5387500000000001,-0.24124999999999996,0.0,80,llama,0.0760524456264195
q10,HP_minus_LP,-0.086875,-0.256890625,0.08499999999999999,0.333915,80,llama,0.08771331931065925
q10,BF_minus_WM,0.050624999999999996,-0.007499999999999995,0.114375,0.1118,80,llama,0.030946229269697114
q11,HI_minus_LI,0.11937499999999998,-0.0068750000000000035,0.22562499999999996,0.040725,80,llama,0.06024405631431644
q11,HP_minus_LP,0.16687500000000002,0.094375,0.248125,1e-05,80,llama,0.039276927290778016
q11,BF_minus_WM,0.0018749999999999995,-0.020624999999999998,0.025,0.893785,80,llama,0.011714015393773803
q12,HI_minus_LI,0.1575,0.0925,0.22999999999999998,5e-06,80,llama,0.03551274508245088
q12,HP_minus_LP,0.19625,0.12000000000000002,0.28125,0.0,80,llama,0.04136491473321413
q12,BF_minus_WM,0.0012500000000000005,-0.01875,0.020625000000000004,0.90087,80,llama,0.010256789970859747
q13,HI_minus_LI,0.08687500000000001,0.03250000000000001,0.145,0.00308,80,llama,0.02905069431510843
q13,HP_minus_LP,0.118125,0.053125,0.18687499999999999,0.00058,80,llama,0.03454317320214542
q13,BF_minus_WM,-0.006875000000000002,-0.041874999999999996,0.024374999999999997,0.6901,80,llama,0.01708003660173056
q14,HI_minus_LI,0.041875,0.013750000000000002,0.07625,0.004315,80,llama,0.016119700336050008
q14,HP_minus_LP,0.05062500000000001,0.015625000000000003,0.0925,0.006745,80,llama,0.01971902614452873
q14,BF_minus_WM,-0.0006249999999999991,-0.010015624999999992,0.007500000000000002,0.9961,80,llama,0.0045782360416610855
q01,HI_minus_LI,0.004999999999999999,0.0,0.013749999999999995,0.499935,80,olmo,0.003937807653241083
q01,HP_minus_LP,0.01,0.0,0.028750000000000005,0.499935,80,olmo,0.008823157103090866
q01,BF_minus_WM,0.0,-0.003749999999999999,0.003749999999999999,1.0,80,olmo,0.0017789201674120495
q02,HI_minus_LI,0.07062500000000001,0.04,0.10499999999999998,5e-06,80,olmo,0.016561492386354897
q02,HP_minus_LP,0.18062499999999998,0.11687499999999999,0.24874999999999997,5e-06,80,olmo,0.033945387892572614
q02,BF_minus_WM,-0.026875000000000003,-0.049375,-0.006250000000000003,0.0129,80,olmo,0.010999991009777683
q03,HI_minus_LI,0.07125000000000001,0.001875000000000001,0.16312500000000002,0.126065,80,olmo,0.04302427008626289
q03,HP_minus_LP,-0.0225,-0.0975,0.03,0.625845,80,olmo,0.03312447754543802
q03,BF_minus_WM,-0.041249999999999995,-0.084375,-0.0075000000000000015,0.06288,80,olmo,0.019603970632424493
q04,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q04,HP_minus_LP,0.0,0.0,0.0,1.0,80,olmo,0.0
q04,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q05,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q05,HP_minus_LP,0.0,0.0,0.0,1.0,80,olmo,0.0
q05,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q06,HI_minus_LI,0.0006249999999999991,-0.0018750000000000017,0.003749999999999999,1.0,80,olmo,0.0014046008262181319
q06,HP_minus_LP,0.0018750000000000004,0.0,0.005,0.498225,80,olmo,0.001390448315827432
q06,BF_minus_WM,0.0006249999999999991,-0.0018750000000000017,0.003749999999999999,1.0,80,olmo,0.0014046008262181319
q07,HI_minus_LI,0.038125,1.3877787807814458e-18,0.075,0.047875,80,olmo,0.018977913336830608
q07,HP_minus_LP,0.160625,0.0925,0.240625,0.0,80,olmo,0.03785897538768136
q07,BF_minus_WM,-0.010625000000000002,-0.035,0.011890624999998635,0.373895,80,olmo,0.012087947431274913
q08,HI_minus_LI,0.03937500000000001,0.008749999999999999,0.08,0.061685,80,olmo,0.01896644584622998
q08,HP_minus_LP,0.019375,0.0006250000000000006,0.043125000000000004,0.124555,80,olmo,0.011019751757524685
q08,BF_minus_WM,-0.003125,-0.013750000000000002,0.005,0.74855,80,olmo,0.004818193861667212
q09,HI_minus_LI,0.07125000000000001,0.001875000000000001,0.16312500000000002,0.126065,80,olmo,0.04302427008626289
q09,HP_minus_LP,-0.0225,-0.0975,0.03,0.625845,80,olmo,0.03312447754543802
q09,BF_minus_WM,-0.041249999999999995,-0.084375,-0.0075000000000000015,0.06288,80,olmo,0.019603970632424493
q10,HI_minus_LI,0.05,0.009375000000000001,0.09,0.015065,80,olmo,0.020611690181833675
q10,HP_minus_LP,0.22000000000000003,0.143125,0.305625,0.0,80,olmo,0.04103680040331814
q10,BF_minus_WM,0.0012499999999999955,-0.028750000000000005,0.032499999999999994,0.96753,80,olmo,0.015533115909997506
q11,HI_minus_LI,0.0012499999999999998,0.0,0.003749999999999999,1.0,80,olmo,0.0012499999999999996
q11,HP_minus_LP,0.005,0.0,0.015000000000000003,1.0,80,olmo,0.005
q11,BF_minus_WM,-0.002500000000000001,-0.007500000000000002,0.0,1.0,80,olmo,0.0025000000000000005
q12,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q12,HP_minus_LP,0.0,0.0,0.0,1.0,80,olmo,0.0
q12,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q13,HI_minus_LI,0.026875,0.0012500000000000011,0.05437499999999999,0.049045,80,olmo,0.013458320270140359
q13,HP_minus_LP,0.08562499999999999,0.041249999999999995,0.13625,4e-05,80,olmo,0.02457219004757568
q13,BF_minus_WM,-0.0031250000000000015,-0.017500000000000005,0.013124999999999998,0.71709,80,olmo,0.00797264657152381
q14,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q14,HP_minus_LP,0.0,0.0,0.0,1.0,80,olmo,0.0
q14,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q01,HI_minus_LI,0.003124999999999997,-0.036875,0.04312499999999999,0.892055,80,qwen,0.0204061558021165
q01,HP_minus_LP,0.060625,0.011875000000000014,0.11125,0.019665,80,qwen,0.025651229243622235
q01,BF_minus_WM,-0.005625000000000003,-0.041874999999999996,0.03124999999999999,0.75594,80,qwen,0.01895184082271746
q02,HI_minus_LI,0.021249999999999998,-0.02874999999999999,0.06999999999999999,0.40982,80,qwen,0.025138461504941843
q02,HP_minus_LP,0.08124999999999999,0.034375,0.13,0.001255,80,qwen,0.024719550377910918
q02,BF_minus_WM,0.021249999999999998,-0.029375000000000005,0.07125,0.42351,80,qwen,0.025790891704954848
q03,HI_minus_LI,0.008750000000000004,-0.09,0.10437499999999997,0.857495,80,qwen,0.04997447924640503
q03,HP_minus_LP,0.04000000000000002,-0.04937500000000001,0.13001562499999866,0.385905,80,qwen,0.04651119369829704
q03,BF_minus_WM,-0.03124999999999999,-0.138765625,0.078125,0.589375,80,qwen,0.05617259089942736
q04,HI_minus_LI,0.010624999999999999,-0.016250000000000004,0.038125000000000006,0.482095,80,qwen,0.013913548344388842
q04,HP_minus_LP,0.023125000000000003,0.0025000000000000105,0.045,0.025575,80,qwen,0.010671436128780085
q04,BF_minus_WM,0.011875000000000002,-0.008124999999999993,0.030625000000000003,0.22886,80,qwen,0.009993817313402866
q05,HI_minus_LI,-0.005624999999999998,-0.034375,0.02125000000000001,0.71047,80,qwen,0.014341940521121692
q05,HP_minus_LP,0.03187500000000001,0.0006250000000000186,0.065625,0.054365,80,qwen,0.016693527274009565
q05,BF_minus_WM,0.020625,-0.004374999999999996,0.045625000000000006,0.114055,80,qwen,0.012941376765821196
q06,HI_minus_LI,-0.027500000000000004,-0.06999999999999999,0.013124999999999987,0.200095,80,qwen,0.021233705591925233
q06,HP_minus_LP,0.02125000000000001,-0.01937499999999999,0.06375,0.31364,80,qwen,0.02132433016443952
q06,BF_minus_WM,-0.012499999999999994,-0.05499999999999998,0.026875,0.57168,80,qwen,0.020850204139485726
q07,HI_minus_LI,-0.014999999999999996,-0.06812499999999999,0.03876562499999866,0.59631,80,qwen,0.027377460007380085
q07,HP_minus_LP,0.051250000000000004,-0.0018749999999999934,0.10437500000000002,0.06094,80,qwen,0.027226415296057935
q07,BF_minus_WM,-0.010000000000000012,-0.06624999999999999,0.041874999999999975,0.70543,80,qwen,0.027464015582189253
q08,HI_minus_LI,0.0325,-0.01749999999999998,0.080625,0.194645,80,qwen,0.024985755435518536
q08,HP_minus_LP,0.1375,0.08748437499999999,0.188125,0.0,80,qwen,0.026076506230996315
q08,BF_minus_WM,-0.011250000000000001,-0.051875000000000004,0.028749999999999987,0.5864,80,qwen,0.020821251771122106
q09,HI_minus_LI,-0.171875,-0.31124999999999997,-0.03874999999999999,0.015485,80,qwen,0.0699278773456144
q09,HP_minus_LP,-0.086875,-0.23062499999999994,0.06064062499999866,0.250035,80,qwen,0.07448527884246997
q09,BF_minus_WM,-0.021874999999999988,-0.15062499999999998,0.105625,0.74711,80,qwen,0.06569879816782193
q10,HI_minus_LI,0.020625,-0.06687499999999999,0.11125,0.65542,80,qwen,0.04575918796512726
q10,HP_minus_LP,0.27437500000000004,0.17625000000000002,0.375,0.0,80,qwen,0.05127329472134864
q10,BF_minus_WM,-0.019375000000000003,-0.11125000000000003,0.07374999999999998,0.683955,80,qwen,0.047111953839978384
q11,HI_minus_LI,0.06875,0.0125,0.12562500000000001,0.0209,80,qwen,0.02903205070873276
q11,HP_minus_LP,0.1975,0.12250000000000001,0.26999999999999996,0.0,80,qwen,0.037829773620151344
q11,BF_minus_WM,-0.03375000000000001,-0.103125,0.03312499999999998,0.332435,80,qwen,0.03482295865326622
q12,HI_minus_LI,0.04374999999999999,-0.0012499999999999955,0.08874999999999998,0.0639,80,qwen,0.022977957930001337
q12,HP_minus_LP,0.13999999999999999,0.08875000000000001,0.19249999999999998,5e-06,80,qwen,0.02657089870944993
q12,BF_minus_WM,0.010000000000000004,-0.036875,0.05500000000000001,0.668975,80,qwen,0.023806976958419858
q13,HI_minus_LI,0.020000000000000004,-0.03,0.07062500000000001,0.439355,80,qwen,0.02589535904854699
q13,HP_minus_LP,0.13,0.070625,0.1875,4e-05,80,qwen,0.0301053004290615
q13,BF_minus_WM,-0.006250000000000003,-0.051250000000000004,0.038124999999999985,0.77968,80,qwen,0.02301236252786584
q14,HI_minus_LI,-0.015000000000000005,-0.050624999999999996,0.019999999999999997,0.40243,80,qwen,0.01817199821118585
q14,HP_minus_LP,0.07875,0.04562499999999999,0.115625,5e-06,80,qwen,0.018180159410811875
q14,BF_minus_WM,6.245004513516506e-18,-0.03937499999999998,0.03875000000000001,0.98269,80,qwen,0.020185061527296846
