outcome,effect,estimate,ci_lo,ci_hi,p,n_texts,model,se_model
q12,HI_minus_LI,0.09125000000000001,0.03875000000000001,0.14875,0.00155,80,gpt,0.02852900755637845
q12,BF_minus_WM,0.008749999999999999,-0.025,0.0425,0.63771,80,gpt,0.01744736659974286
q13,HI_minus_LI,0.053750000000000006,0.013750000000000012,0.09625000000000002,0.01283,80,gpt,0.021268606894681803
q13,BF_minus_WM,0.03125000000000001,-0.004999999999999992,0.06875,0.093685,80,gpt,0.018876157857017354
q14,HI_minus_LI,0.011249999999999996,-0.03624999999999999,0.061249999999999985,0.6727,80,gpt,0.02477709168066136
q14,BF_minus_WM,-0.04375,-0.09249999999999999,0.0025000000000000066,0.08143,80,gpt,0.02457510768484075
q01,HI_minus_LI,0.0,0.0,0.0,1.0,80,llama,0.0
q01,BF_minus_WM,0.0,0.0,0.0,1.0,80,llama,0.0
q02,HI_minus_LI,0.02,-0.009999999999999998,0.057499999999999996,0.283025,80,llama,0.017375233356050648
q02,BF_minus_WM,-0.004999999999999999,-0.017499999999999998,0.006249999999999997,0.561,80,llama,0.005873131267567237
q03,HI_minus_LI,0.03375,-0.011250000000000001,0.1125,1.0,80,llama,0.03773423679607524
q03,BF_minus_WM,0.0037500000000000007,0.0,0.011250000000000001,1.0,80,llama,0.00375
q04,HI_minus_LI,0.030000000000000006,2.7755575615628915e-18,0.0675,0.124385,80,llama,0.017646314206181728
q04,BF_minus_WM,0.0024999999999999996,-0.012500000000000006,0.018750000000000006,0.875045,80,llama,0.007950599053936485
q05,HI_minus_LI,0.006249999999999997,-0.0050000000000000044,0.021249999999999995,0.50023,80,llama,0.006737329880898712
q05,BF_minus_WM,-0.021249999999999998,-0.05,0.0,0.25009,80,llama,0.012913263468919137
q06,HI_minus_LI,0.0024999999999999966,-0.007500000000000007,0.014999999999999996,1.0,80,llama,0.005618403304872527
q06,BF_minus_WM,-0.017499999999999998,-0.045,0.0,0.498305,80,llama,0.012423818488000572
q07,HI_minus_LI,-0.010000000000000002,-0.027500000000000004,0.0,0.49921,80,llama,0.007875615306482167
q07,BF_minus_WM,-0.002499999999999998,-0.029999999999999992,0.0225,1.0,80,llama,0.012575720026193933
q08,HI_minus_LI,0.17375000000000002,0.08875000000000001,0.2625,0.000125,80,llama,0.0446768902825214
q08,BF_minus_WM,-0.006250000000000001,-0.0325,0.015,0.66327,80,llama,0.01224017947870398
q09,HI_minus_LI,-0.47750000000000004,-0.7625,-0.215,0.00061,80,llama,0.1416446681852743
q09,BF_minus_WM,0.025000000000000012,-0.05624999999999999,0.12874999999999998,0.6729,80,llama,0.04758403625512566
q10,HI_minus_LI,-0.16375,-0.33625,-0.0024999999999999996,0.059,80,llama,0.08513287733770936
q10,BF_minus_WM,0.006250000000000003,-0.05499999999999999,0.07375000000000001,0.844025,80,llama,0.03286642269104335
q11,HI_minus_LI,0.06625,-0.07999999999999999,0.19,0.38926,80,llama,0.06976324677984692
q11,BF_minus_WM,0.018749999999999996,-0.02,0.05625,0.38933,80,llama,0.01949470473380471
q12,HI_minus_LI,0.12000000000000002,0.03375,0.21003124999999728,0.00941,80,llama,0.04561118006405274
q12,BF_minus_WM,0.0049999999999999975,-0.030000000000000006,0.03503124999999728,0.829585,80,llama,0.01677286838689348
q13,HI_minus_LI,0.08499999999999999,0.0175,0.15375,0.01751,80,llama,0.0350451787976895
q13,BF_minus_WM,1.3877787807814458e-18,-0.03374999999999999,0.03125,0.980985,80,llama,0.0164008335694303
q14,HI_minus_LI,0.04875,0.0125,0.09624999999999999,0.06178,80,llama,0.022501318526767223
q14,BF_minus_WM,-0.0012500000000000011,-0.011250000000000001,0.005000000000000002,1.0,80,llama,0.004169566501463502
q01,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q01,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q02,HI_minus_LI,0.034999999999999996,0.005000000000000002,0.06875,0.03699,80,olmo,0.016313774563427346
q02,BF_minus_WM,-0.034999999999999996,-0.06000000000000001,-0.012500000000000006,0.004275,80,olmo,0.012337552021102796
q03,HI_minus_LI,0.026249999999999996,-0.052500000000000005,0.12,0.689255,80,olmo,0.043419638778386546
q03,BF_minus_WM,-0.041249999999999995,-0.10874999999999999,0.015000000000000003,0.25141,80,olmo,0.03190639741811243
q04,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q04,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q05,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q05,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q06,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q06,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q07,HI_minus_LI,0.042499999999999996,-0.002500000000000001,0.09,0.08652,80,olmo,0.023785366738523835
q07,BF_minus_WM,-0.012500000000000002,-0.05125,0.034999999999999996,0.63798,80,olmo,0.022174152474777553
q08,HI_minus_LI,0.01625,0.0,0.045,0.499325,80,olmo,0.013004837220789827
q08,BF_minus_WM,-0.0037500000000000007,-0.011250000000000001,0.0,1.0,80,olmo,0.00375
q09,HI_minus_LI,0.026249999999999996,-0.052500000000000005,0.12,0.689255,80,olmo,0.043419638778386546
q09,BF_minus_WM,-0.041249999999999995,-0.10874999999999999,0.015000000000000003,0.25141,80,olmo,0.03190639741811243
q10,HI_minus_LI,0.020000000000000004,-0.06000000000000001,0.10125000000000002,0.631865,80,olmo,0.04165864901763718
q10,BF_minus_WM,-0.010000000000000004,-0.08375000000000002,0.06875,0.798025,80,olmo,0.039281522051513536
q11,HI_minus_LI,0.0012500000000000011,0.0,0.0037500000000000033,1.0,80,olmo,0.001250000000000001
q11,BF_minus_WM,-0.0012500000000000011,-0.0037500000000000033,0.0,1.0,80,olmo,0.001250000000000001
q12,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q12,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q13,HI_minus_LI,0.01875,0.0,0.03875,0.07881,80,olmo,0.009919573732674944
q13,BF_minus_WM,0.008749999999999997,-0.013750000000000004,0.03624999999999999,0.6411,80,olmo,0.013095770647837393
q14,HI_minus_LI,0.0,0.0,0.0,1.0,80,olmo,0.0
q14,BF_minus_WM,0.0,0.0,0.0,1.0,80,olmo,0.0
q01,HI_minus_LI,0.005000000000000007,-0.042499999999999996,0.053750000000000006,0.822475,80,qwen,0.024771104031445765
q01,BF_minus_WM,-0.012500000000000002,-0.05750000000000001,0.03125000000000001,0.58318,80,qwen,0.022876595192356238
q02,HI_minus_LI,5.551115123125783e-18,-0.06124999999999999,0.0625,0.985655,80,qwen,0.03197111037693526
q02,BF_minus_WM,0.027499999999999997,-0.03250000000000001,0.09375000000000001,0.42875,80,qwen,0.03260693216658776
q03,HI_minus_LI,-0.1,-0.2525,0.041249999999999995,0.192515,80,qwen,0.07507380334955123
q03,BF_minus_WM,-0.05250000000000001,-0.16875,0.0712812499999973,0.399585,80,qwen,0.06157158538305051
q04,HI_minus_LI,0.001249999999999997,-0.02000000000000001,0.026249999999999996,0.975,80,qwen,0.011998648394345893
q04,BF_minus_WM,-0.003750000000000002,-0.017531249999999988,0.011249999999999998,0.644335,80,qwen,0.007429787379617882
q05,HI_minus_LI,0.019999999999999993,-0.03125,0.07625,0.50438,80,qwen,0.027639176012191662
q05,BF_minus_WM,-0.004999999999999993,-0.03375,0.023750000000000007,0.79823,80,qwen,0.01476610898928842
q06,HI_minus_LI,-0.029999999999999992,-0.08999999999999997,0.027500000000000014,0.337425,80,qwen,0.02994721093921726
q06,BF_minus_WM,-0.002499999999999994,-0.04499999999999999,0.03875000000000001,0.938665,80,qwen,0.02156642667420059
q07,HI_minus_LI,0.008750000000000008,-0.08125,0.09874999999999999,0.841475,80,qwen,0.04629274453089308
q07,BF_minus_WM,0.006250000000000003,-0.07874999999999999,0.08750000000000002,0.88055,80,qwen,0.04281782686531807
q08,HI_minus_LI,0.05375,-0.023750000000000004,0.12874999999999998,0.174745,80,qwen,0.03880916267577717
q08,BF_minus_WM,0.013750000000000012,-0.045,0.07375000000000001,0.634085,80,qwen,0.03095238022789446
q09,HI_minus_LI,-0.215,-0.38753125,-0.04499999999999999,0.01696,80,qwen,0.08796395982360106
q09,BF_minus_WM,0.07499999999999998,-0.10500000000000002,0.255,0.426055,80,qwen,0.09235834175178352
q10,HI_minus_LI,0.028750000000000015,-0.11628124999999997,0.18,0.699155,80,qwen,0.07633192320386012
q10,BF_minus_WM,0.12125,-2.8449465006019007e-18,0.2425,0.05642,80,qwen,0.06233062492705707
q11,HI_minus_LI,0.032500000000000015,-0.06749999999999999,0.13625,0.52607,80,qwen,0.05155109914235398
q11,BF_minus_WM,-0.015,-0.0925,0.06375,0.711075,80,qwen,0.04037404229377138
q12,HI_minus_LI,0.0125,-0.06874999999999998,0.09500000000000001,0.766445,80,qwen,0.04180935483715018
q12,BF_minus_WM,0.04999999999999998,-0.012499999999999994,0.11499999999999999,0.14049,80,qwen,0.03284986946778681
q13,HI_minus_LI,0.05874999999999999,-0.016281249999999994,0.13374999999999998,0.13722,80,qwen,0.03834774884881968
q13,BF_minus_WM,0.016249999999999997,-0.06,0.0925,0.687635,80,qwen,0.03943604620783287
q14,HI_minus_LI,0.006250000000000004,-0.03250000000000001,0.04500000000000001,0.744255,80,qwen,0.020231551214797198
q14,BF_minus_WM,0.01875,-0.02000000000000001,0.061250000000000006,0.388625,80,qwen,0.02105551357480349
